Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout,margin,margin%,year
Begusarai,24,GEN,Bihar [2000 Onwards],Bhola Singh,Bharatiya Janta Party,"17,78,759","10,77,855",60.60%,"58,335",5.40%,2014
Belgaum,2,GEN,Karnataka,Angadi Suresh Channabasappa,Bharatiya Janta Party,"15,81,017","10,78,547",68.20%,"75,860",7.00%,2014
Bellary,9,ST,Karnataka,B. Sreeramulu,Bharatiya Janta Party,"14,87,945","10,45,772",70.30%,"85,144",8.10%,2014
Berhampur,20,GEN,Orissa,Sidhant Mohapatra,Biju Janata Dal,"13,34,268","9,05,362",67.90%,"1,27,720",14.10%,2014
Betul,29,ST,Madhya Pradesh [2000 Onwards],Jyoti Dhurve,Bharatiya Janta Party,"16,07,822","10,47,719",65.20%,"3,28,614",31.40%,2014
Bhadohi,78,GEN,Uttar Pradesh [2000 Onwards],Virendra Singh,Bharatiya Janta Party,"18,34,598","9,81,552",53.50%,"1,58,039",16.10%,2014
Bhadrak,7,SC,Orissa,Arjun Charan Sethi,Biju Janata Dal,"14,69,498","10,81,339",73.60%,"1,79,359",16.60%,2014
Bhagalpur,26,GEN,Bihar [2000 Onwards],Shailesh Kumar Urph Bulo Mandal,Rashtriya Janata Dal,"16,85,339","9,74,016",57.80%,"9,485",1.00%,2014
Bhandara - Gondiya,11,GEN,Maharashtra,Nanabhau Falgunrao Patole,Bharatiya Janta Party,"16,56,284","11,97,196",72.30%,"1,49,254",12.50%,2014
Bharatpur,9,SC,Rajasthan,Bahadur Singh,Bharatiya Janta Party,"16,86,897","9,62,432",57.10%,"2,45,468",25.50%,2014
Bharuch,22,GEN,Gujarat,Vasava Mansukhbhai Dhanjibhai,Bharatiya Janta Party,"14,17,548","10,60,211",74.80%,"1,53,273",14.50%,2014
Bhatinda,11,GEN,Punjab,Harsimrat Kaur Badal,Shiromani Akali Dal,"15,25,289","11,76,767",77.20%,"19,395",1.60%,2014
Bhavnagar,15,GEN,Gujarat,Dr. Bharatiben Dhirubhai Shiyal,Bharatiya Janta Party,"15,94,531","9,17,402",57.50%,"2,95,488",32.20%,2014
Bhilwara,23,GEN,Rajasthan,Subhash Baheria,Bharatiya Janta Party,"17,54,877","11,04,090",62.90%,"2,46,264",22.30%,2014
Bhind,2,SC,Madhya Pradesh [2000 Onwards],Dr. Bhagirath Prasad,Bharatiya Janta Party,"15,98,169","7,29,084",45.60%,"1,59,961",21.90%,2014
Bhiwandi,23,GEN,Maharashtra,Kapil Moreshwar Patil,Bharatiya Janta Party,"16,96,589","8,75,605",51.60%,"1,09,450",12.50%,2014
Bhiwani-Mahendragarh,8,GEN,Haryana,Dharambir S/o Bhale Ram,Bharatiya Janta Party,"14,73,912","10,30,431",69.90%,"1,29,394",12.60%,2014
Bhongir,14,GEN,Telangana,Dr. Boora Narsaiah Goud,Telangana Rashtra Samithi,"14,92,251","12,11,943",81.20%,"30,494",2.50%,2014
Bhopal,19,GEN,Madhya Pradesh [2000 Onwards],Alok Sanjar,Bharatiya Janta Party,"19,56,936","11,30,182",57.80%,"3,70,696",32.80%,2014
Bhubaneswar,18,GEN,Orissa,Prasanna Kumar Patasani,Biju Janata Dal,"15,27,768","8,91,822",58.40%,"1,89,477",21.20%,2014
Bidar,7,GEN,Karnataka,Bhagwanth Khuba,Bharatiya Janta Party,"16,00,962","9,59,384",59.90%,"92,222",9.60%,2014
Bijapur,4,SC,Karnataka,Ramesh Jigajinagi,Bharatiya Janta Party,"16,22,635","9,66,757",59.60%,"69,819",7.20%,2014
Bijnor,4,GEN,Uttar Pradesh [2000 Onwards],Kunwar Bhartendra,Bharatiya Janta Party,"15,62,065","10,60,346",67.90%,"2,05,774",19.40%,2014
Bikaner,2,SC,Rajasthan,Arjun Ram Meghwal,Bharatiya Janta Party,"15,91,068","9,29,751",58.40%,"3,08,079",33.10%,2014
Bilaspur,5,GEN,Chhattisgarh,Lakhan Lal Sahu,Bharatiya Janta Party,"17,27,325","10,90,457",63.10%,"1,76,436",16.20%,2014
Birbhum,42,GEN,West Bengal,Satabdi Roy,All India Trinamool Congress,"14,95,108","12,75,819",85.30%,"67,263",5.30%,2014
Bishnupur,37,SC,West Bengal,Khan Saumitra,All India Trinamool Congress,"14,66,921","12,72,070",86.70%,"1,49,685",11.80%,2014
Bolangir,10,GEN,Orissa,Kalikesh Narayan Singh Deo,Biju Janata Dal,"15,63,025","11,70,405",74.90%,"1,04,299",8.90%,2014
Bolpur,41,SC,West Bengal,Anupam Hazra,All India Trinamool Congress,"15,38,429","13,04,756",84.80%,"2,36,112",18.10%,2014
Bulandshahr,14,SC,Uttar Pradesh [2000 Onwards],Bhola Singh,Bharatiya Janta Party,"17,36,447","10,09,710",58.20%,"4,21,973",41.80%,2014
Buldhana,5,GEN,Maharashtra,Jadhav Prataprao Ganpatrao,Shiv Sena,"15,96,234","9,78,626",61.30%,"1,59,579",16.30%,2014
Burdwan - Durgapur,39,GEN,West Bengal,Dr. Mamtaz Sanghamita,All India Trinamool Congress,"15,83,498","13,31,242",84.10%,"1,07,331",8.10%,2014
Buxar,33,GEN,Bihar [2000 Onwards],Ashwini Kumar Choubey,Bharatiya Janta Party,"16,40,567","8,88,204",54.10%,"1,32,338",14.90%,2014
Chalakudy,11,GEN,Kerala,Innocent,Independent,"11,50,491","8,84,033",76.80%,"13,884",1.60%,2014
Chamarajanagar,22,SC,Karnataka,R. Dhruvanarayana,Indian National Congress,"15,55,779","11,33,029",72.80%,"1,41,182",12.50%,2014
Chandauli,76,GEN,Uttar Pradesh [2000 Onwards],Dr Mahendra Nath Pandey,Bharatiya Janta Party,"16,69,140","9,80,572",58.80%,"1,56,756",16.00%,2014
Chandigarh,1,GEN,Chandigarh,Kher Kirron Anupam,Bharatiya Janta Party,"6,15,214","4,53,455",73.70%,"69,642",15.40%,2014
Chandni Chowk,1,GEN,Delhi [1977 Onwards],Dr. Harsh Vardhan,Bharatiya Janta Party,"14,47,228","9,81,863",67.80%,"1,36,320",13.90%,2014
Chandrapur,13,GEN,Maharashtra,Ahir Hansraj Gangaram,Bharatiya Janta Party,"17,53,690","11,09,743",63.30%,"2,36,269",21.30%,2014
Chatra,4,GEN,Jharkhand,Sunil Kumar Singh,Bharatiya Janta Party,"13,12,545","7,12,971",54.30%,"1,78,026",25.00%,2014
Chelvella,10,GEN,Telangana,Konda Vishweshwar Reddy,Telangana Rashtra Samithi,"21,85,179","13,15,862",60.20%,"73,023",5.50%,2014
Chennai Central,4,GEN,Tamil Nadu,S.R. Vijayakumar,All India Anna Dravida Munnetra Kazhagam,"13,28,027","8,14,894",61.40%,"45,841",5.60%,2014
Chennai North,2,GEN,Tamil Nadu,Venkatesh Babu .T.G,All India Anna Dravida Munnetra Kazhagam,"14,22,386","9,10,114",64.00%,"99,704",11.00%,2014
Chennai South,3,GEN,Tamil Nadu,Dr. J. Jayavardhan,All India Anna Dravida Munnetra Kazhagam,"17,95,780","10,81,163",60.20%,"1,36,625",12.60%,2014
Chhindwara,16,GEN,Madhya Pradesh [2000 Onwards],Kamal Nath,Indian National Congress,"14,01,277","11,07,498",79.00%,"1,16,537",10.50%,2014
Chhota Udaipur,21,ST,Gujarat,Ramsinh Rathwa,Bharatiya Janta Party,"15,36,305","11,00,542",71.60%,"1,79,729",16.30%,2014
Chidambaram,27,SC,Tamil Nadu,"Chandrakasi, M",All India Anna Dravida Munnetra Kazhagam,"13,66,189","10,88,423",79.70%,"1,28,495",11.80%,2014
Chikballapur,27,GEN,Karnataka,M Veerappa Moily,Indian National Congress,"16,58,342","12,63,274",76.20%,"9,520",0.80%,2014
Chikkodi,1,GEN,Karnataka,Prakash Babanna Hukkeri,Indian National Congress,"14,42,296","10,71,103",74.30%,"3,003",0.30%,2014
Chitradurga,18,SC,Karnataka,B.N.Chandrappa,Indian National Congress,"16,61,272","10,96,499",66.00%,"1,01,291",9.20%,2014
Chittoor,42,SC,Andhra Pradesh [2014 Onwards],Naramalli Sivaprasad,Telugu Desam,"14,52,141","11,98,915",82.60%,"44,138",3.70%,2014
Chittorgarh,21,GEN,Rajasthan,Chandra Prakash Joshi,Bharatiya Janta Party,"18,18,147","11,72,629",64.50%,"3,16,857",27.00%,2014
Churu,3,GEN,Rajasthan,Rahul Kaswan,Bharatiya Janta Party,"17,53,825","11,31,104",64.50%,"2,94,739",26.10%,2014
Coimbatore,20,GEN,Tamil Nadu,"Nagarajan, P.",All India Anna Dravida Munnetra Kazhagam,"17,20,211","11,76,620",68.40%,"42,016",3.60%,2014
Cooch Behar,1,SC,West Bengal,Renuka Sinha,All India Trinamool Congress,"16,13,417","13,32,409",82.60%,"87,107",6.50%,2014
Cuddalore,26,GEN,Tamil Nadu,Arunmozhithevan.A,All India Anna Dravida Munnetra Kazhagam,"12,47,908","9,84,538",78.90%,"2,03,125",20.60%,2014
Cuttack,14,GEN,Orissa,Bhartruhari Mahatab,Biju Janata Dal,"13,71,617","9,78,604",71.40%,"3,06,762",31.30%,2014
Dadra And Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Patel Natubhai Gomanbhai,Bharatiya Janta Party,"1,96,617","1,65,286",84.10%,"6,214",3.80%,2014
Dahod,19,ST,Gujarat,Jasvantsinh Sumanbhai Bhabhor,Bharatiya Janta Party,"14,11,765","9,00,381",63.80%,"2,30,354",25.60%,2014
Dakshina Kannada,17,GEN,Karnataka,Nalin Kumar Kateel,Bharatiya Janta Party,"15,65,281","12,07,474",77.10%,"1,43,709",11.90%,2014
Daman And Diu,1,GEN,Daman & Diu,Patel Lalubhai Babubhai,Bharatiya Janta Party,"1,11,827","87,233",78.00%,"9,222",10.60%,2014
Damoh,7,GEN,Madhya Pradesh [2000 Onwards],Prahalad Singh Patel,Bharatiya Janta Party,"16,51,106","9,12,080",55.20%,"2,13,299",23.40%,2014
Darbhanga,14,GEN,Bihar [2000 Onwards],Kirti Azad,Bharatiya Janta Party,"14,95,446","8,28,342",55.40%,"35,043",4.20%,2014
Darjeeling,4,GEN,West Bengal,S.S.Ahluwalia,Bharatiya Janta Party,"14,37,126","11,42,009",79.50%,"1,97,239",17.30%,2014
Dausa,11,ST,Rajasthan,Harish Chandra Meena,Bharatiya Janta Party,"15,24,095","9,30,492",61.10%,"45,404",4.90%,2014
Davanagere,13,GEN,Karnataka,G M Siddeshwara,Bharatiya Janta Party,"15,22,712","11,14,868",73.20%,"17,607",1.60%,2014
Deoria,66,GEN,Uttar Pradesh [2000 Onwards],Kalraj Mishra,Bharatiya Janta Party,"18,06,926","9,71,557",53.80%,"2,65,386",27.30%,2014
Dewas,21,SC,Madhya Pradesh [2000 Onwards],Manohar Untwal,Bharatiya Janta Party,"16,17,215","11,43,968",70.70%,"2,60,313",22.80%,2014
Dhanbad,7,GEN,Jharkhand,Pashupati Nath Singh,Bharatiya Janta Party,"18,89,994","11,43,902",60.50%,"2,92,954",25.60%,2014
Dhar,25,ST,Madhya Pradesh [2000 Onwards],Savitri Thakur,Bharatiya Janta Party,"16,68,441","10,76,816",64.50%,"1,04,328",9.70%,2014
Dharmapuri,10,GEN,Tamil Nadu,Anbumani Ramadoss,Pattali Makkal Katchi,"13,58,273","11,01,345",81.10%,"77,146",7.00%,2014
Dharwad,11,GEN,Karnataka,Pralhad Joshi,Bharatiya Janta Party,"15,79,024","10,41,226",65.90%,"1,13,657",10.90%,2014
Dhaurahra,29,GEN,Uttar Pradesh [2000 Onwards],Rekha,Bharatiya Janta Party,"15,58,039","10,60,271",68.10%,"1,25,675",11.90%,2014
Dhenkanal,9,GEN,Orissa,Tathagata Satpathy,Biju Janata Dal,"13,63,467","10,42,101",76.40%,"1,37,340",13.20%,2014
Dhubri,4,GEN,Assam,Badruddin Ajmal,All India United Democratic Front,"15,52,554","13,69,624",88.20%,"2,29,730",16.80%,2014
Dhule,2,GEN,Maharashtra,Dr. Bhamre Subhash Ramrao,Bharatiya Janta Party,"16,74,469","9,83,083",58.70%,"1,30,723",13.30%,2014
Diamond Harbour,21,GEN,West Bengal,Abhishek Banerjee,All India Trinamool Congress,"15,55,914","12,61,296",81.10%,"71,298",5.70%,2014
Dibrugarh,13,GEN,Assam,Rameswar Teli,Bharatiya Janta Party,"11,24,305","8,90,968",79.30%,"1,85,347",20.80%,2014
Dindigul,22,GEN,Tamil Nadu,Udhaya Kumar .M,All India Anna Dravida Munnetra Kazhagam,"14,00,531","10,83,364",77.40%,"1,27,845",11.80%,2014
Dindori,20,ST,Maharashtra,Chavan Harishchandra Deoram,Bharatiya Janta Party,"15,30,139","9,70,182",63.40%,"2,47,619",25.50%,2014
Domariyaganj,60,GEN,Uttar Pradesh [2000 Onwards],Jagdambika Pal,Bharatiya Janta Party,"17,61,415","9,35,027",53.10%,"1,03,588",11.10%,2014
Dum Dum,16,GEN,West Bengal,Saugata Roy,All India Trinamool Congress,"14,05,981","11,32,644",80.60%,"1,54,934",13.70%,2014
Dumka,2,ST,Jharkhand,Shibu Soren,Jharkhand Mukti Morcha,"12,47,155","9,03,060",72.40%,"39,030",4.30%,2014
Durg,7,GEN,Chhattisgarh,Tamradhwaj Sahu,Indian National Congress,"18,55,781","12,58,342",67.80%,"16,848",1.30%,2014
East Delhi,3,GEN,Delhi [1977 Onwards],Maheish Girri,Bharatiya Janta Party,"18,29,578","11,96,336",65.40%,"1,90,463",15.90%,2014
Eluru,27,GEN,Andhra Pradesh [2014 Onwards],Maganti Venkateswara Rao (BABU),Telugu Desam,"14,27,760","12,01,696",84.20%,"1,01,926",8.50%,2014
Ernakulam,12,GEN,Kerala,Prof. K.V. Thomas,Indian National Congress,"11,56,467","8,50,834",73.60%,"87,047",10.20%,2014
Erode,17,GEN,Tamil Nadu,Selvakumara Chinnayan S,All India Anna Dravida Munnetra Kazhagam,"13,21,395","10,08,582",76.30%,"2,11,563",21.00%,2014
Etah,22,GEN,Uttar Pradesh [2000 Onwards],Rajveer Singh (RAJU BHAIYA),Bharatiya Janta Party,"15,77,457","9,26,281",58.70%,"2,01,001",21.70%,2014
Etawah,41,SC,Uttar Pradesh [2000 Onwards],Ashok Kumar Doharey,Bharatiya Janta Party,"17,07,237","9,39,604",55.00%,"1,72,946",18.40%,2014
Faizabad,54,GEN,Uttar Pradesh [2000 Onwards],Lallu Singh,Bharatiya Janta Party,"17,38,701","10,22,716",58.80%,"2,82,775",27.60%,2014
Faridabad,10,GEN,Haryana,Krishan Pal,Bharatiya Janta Party,"17,40,352","11,30,726",65.00%,"4,66,873",41.30%,2014
Faridkot,9,SC,Punjab,Prof. Sadhu Singh,Aam Aadmi Party,"14,55,075","10,32,107",70.90%,"1,72,516",16.70%,2014
Farrukhabad,40,GEN,Uttar Pradesh [2000 Onwards],Mukesh Rajput,Bharatiya Janta Party,"16,13,781","9,70,677",60.20%,"1,50,502",15.50%,2014
Fatehgarh Sahib,8,SC,Punjab,Harinder Singh Khalsa,Aam Aadmi Party,"13,96,957","10,30,954",73.80%,"54,144",5.30%,2014
Fatehpur,49,GEN,Uttar Pradesh [2000 Onwards],Niranjan Jyoti,Bharatiya Janta Party,"18,04,777","10,56,688",58.60%,"1,87,206",17.70%,2014
Fatehpur Sikri,19,GEN,Uttar Pradesh [2000 Onwards],Babulal,Bharatiya Janta Party,"15,80,582","9,67,968",61.20%,"1,73,106",17.90%,2014
Ferozpur,10,GEN,Punjab,Sher Singh Ghubaya,Shiromani Akali Dal,"15,22,111","11,05,412",72.60%,"31,420",2.80%,2014
Firozabad,20,GEN,Uttar Pradesh [2000 Onwards],Akshay Yadav,Samajwadi Party,"16,36,738","11,04,606",67.50%,"1,14,059",10.30%,2014
Gadchiroli-Chimur,12,ST,Maharashtra,Ashok Mahadeorao Nete,Bharatiya Janta Party,"14,69,767","10,27,129",69.90%,"2,36,870",23.10%,2014
Gandhinagar,6,GEN,Gujarat,L.K.Advani,Bharatiya Janta Party,"17,33,972","11,35,495",65.50%,"4,83,121",42.50%,2014
Ganganagar,1,SC,Rajasthan,Nihalchand,Bharatiya Janta Party,"17,18,421","12,56,806",73.10%,"2,91,741",23.20%,2014
Garhwal,2,GEN,Uttarakhand,(MAJ GEN (RETD.) ) BHUWAN CHANDRA KHANDURI (AVSM),Bharatiya Janta Party,"12,69,083","6,82,024",53.70%,"1,84,526",27.10%,2014
Gauhati,7,GEN,Assam,Bijoya Chakravarty,Bharatiya Janta Party,"19,22,270","15,11,729",78.60%,"3,15,784",20.90%,2014
Gautam Buddh Nagar,13,GEN,Uttar Pradesh [2000 Onwards],Dr.Mahesh Sharma,Bharatiya Janta Party,"19,86,117","11,99,238",60.40%,"2,80,212",23.40%,2014
Gaya,38,SC,Bihar [2000 Onwards],Hari Manjhi,Bharatiya Janta Party,"15,00,751","8,09,378",53.90%,"1,15,504",14.30%,2014
Ghatal,32,GEN,West Bengal,Adhikari Deepak (DEV),All India Trinamool Congress,"16,10,489","13,66,709",84.90%,"2,60,891",19.10%,2014
Ghaziabad,12,GEN,Uttar Pradesh [2000 Onwards],Vijay Kumar Singh,Bharatiya Janta Party,"23,57,546","13,42,320",56.90%,"5,67,260",42.30%,2014
Ghazipur,75,GEN,Uttar Pradesh [2000 Onwards],Manoj Sinha,Bharatiya Janta Party,"18,01,519","9,86,673",54.80%,"32,452",3.30%,2014
Ghosi,70,GEN,Uttar Pradesh [2000 Onwards],Harinarayan Rajbhar,Bharatiya Janta Party,"18,91,113","10,39,656",55.00%,"1,46,015",14.00%,2014
Giridih,6,GEN,Jharkhand,Ravindra Kumar Pandey,Bharatiya Janta Party,"15,15,137","9,69,997",64.00%,"40,313",4.20%,2014
Godda,3,GEN,Jharkhand,Nishikant Dubey,Bharatiya Janta Party,"15,90,628","10,49,442",66.00%,"60,682",5.80%,2014
Gonda,59,GEN,Uttar Pradesh [2000 Onwards],Kirti Vardhan Singh,Bharatiya Janta Party,"17,10,827","8,73,732",51.10%,"1,60,416",18.40%,2014
Gopalganj,17,SC,Bihar [2000 Onwards],Janak Ram,Bharatiya Janta Party,"16,52,767","9,03,583",54.70%,"2,86,936",31.80%,2014
Gorakhpur,64,GEN,Uttar Pradesh [2000 Onwards],Adityanath,Bharatiya Janta Party,"19,04,498","10,40,199",54.60%,"3,12,783",30.10%,2014
Gulbarga,5,SC,Karnataka,Mallikarjun Kharge,Indian National Congress,"17,21,990","9,97,638",57.90%,"74,733",7.50%,2014
Guna,4,GEN,Madhya Pradesh [2000 Onwards],Jyotiraditya M Scindia,Indian National Congress,"16,05,619","9,76,629",60.80%,"1,20,792",12.40%,2014
Guntur,30,GEN,Andhra Pradesh [2014 Onwards],Jayadev Galla,Telugu Desam,"15,72,016","12,44,926",79.20%,"69,111",5.60%,2014
Gurdaspur,1,GEN,Punjab,Vinod Khanna,Bharatiya Janta Party,"15,00,337","10,42,699",69.50%,"1,36,065",13.00%,2014
Gurgaon,9,GEN,Haryana,Inderjit Singh Rao,Bharatiya Janta Party,"18,45,623","13,20,619",71.60%,"2,74,722",20.80%,2014
Gwalior,3,GEN,Madhya Pradesh [2000 Onwards],Narendra Singh Tomar,Bharatiya Janta Party,"18,77,003","9,90,912",52.80%,"29,699",3.00%,2014
Hajipur,21,SC,Bihar [2000 Onwards],Ramvilas Paswan,Lok Jan Shakti Party,"16,49,547","9,04,753",54.90%,"2,25,500",24.90%,2014
Hamirpur,3,GEN,Himachal Pradesh,Anurag Singh Thakur,Bharatiya Janta Party,"12,47,699","8,35,205",66.90%,"98,403",11.80%,2014
Hamirpur,47,GEN,Uttar Pradesh [2000 Onwards],Kunwar Pushpendra Singh Chandel,Bharatiya Janta Party,"17,37,993","9,75,240",56.10%,"2,66,788",27.40%,2014
Hardoi,31,SC,Uttar Pradesh [2000 Onwards],Anshul Verma,Bharatiya Janta Party,"17,14,387","9,72,894",56.80%,"81,343",8.40%,2014
Hardwar,5,GEN,Uttarakhand,Ramesh Pokhriyal Nishank,Bharatiya Janta Party,"16,42,873","11,75,692",71.60%,"1,77,822",15.10%,2014
Hassan,16,GEN,Karnataka,H.D. Devegowda,Janata Dal (Secular),"15,61,336","11,47,172",73.50%,"1,00,462",8.80%,2014
Hathras,16,SC,Uttar Pradesh [2000 Onwards],Rajesh Kumar Diwaker,Bharatiya Janta Party,"17,58,927","10,49,273",59.70%,"3,26,386",31.10%,2014
Hatkanangle,48,GEN,Maharashtra,Raju Shetty,Swabhimani Paksha,"16,30,598","11,88,871",72.90%,"1,77,810",15.00%,2014
Haveri,10,GEN,Karnataka,Udasi Shivakumar Channabasappa,Bharatiya Janta Party,"15,58,749","11,15,968",71.60%,"87,571",7.80%,2014
Hazaribagh,14,GEN,Jharkhand,Jayant Sinha,Bharatiya Janta Party,"15,18,831","9,67,152",63.70%,"1,59,128",16.50%,2014
Hindupur,37,GEN,Andhra Pradesh [2014 Onwards],Kristappa Nimmala,Telugu Desam,"14,46,503","11,77,257",81.40%,"97,325",8.30%,2014
Hingoli,15,GEN,Maharashtra,Rajeev Shankarrao Satav,Indian National Congress,"15,86,194","10,51,164",66.30%,"1,632",0.20%,2014
Hisar,4,GEN,Haryana,Dushyant Chautala,Indian National Lok Dal,"15,17,606","11,55,914",76.20%,"31,847",2.80%,2014
Hooghly,28,GEN,West Bengal,Dr. Ratna De (NAG),All India Trinamool Congress,"16,30,042","13,48,870",82.80%,"1,89,084",14.00%,2014
Hoshangabad,17,GEN,Madhya Pradesh [2000 Onwards],Uday Pratap Singh,Bharatiya Janta Party,"15,68,127","10,31,175",65.80%,"3,89,960",37.80%,2014
Hoshiarpur,5,SC,Punjab,Vijay Sampla,Bharatiya Janta Party,"14,85,286","9,61,297",64.70%,"13,582",1.40%,2014
Howrah,25,GEN,West Bengal,Prasun Banerjee,All India Trinamool Congress,"15,05,099","11,25,399",74.80%,"1,96,956",17.50%,2014
Hyderabad,9,GEN,Telangana,Asaduddin Owaisi,All India Majlis-E-Ittehadul Muslimoon,"18,23,664","9,71,421",53.30%,"2,02,454",20.80%,2014
Idukki,13,GEN,Kerala,Adv.Joice George,Independent,"11,58,735","8,19,766",70.80%,"50,542",6.20%,2014
Indore,26,GEN,Madhya Pradesh [2000 Onwards],Sumitra Mahajan (TAI),Bharatiya Janta Party,"21,15,303","13,16,817",62.30%,"4,66,901",35.50%,2014
Inner Manipur,1,GEN,Manipur,Dr. Thokchom Meinya,Indian National Congress,"8,55,359","6,40,871",74.90%,"94,674",14.80%,2014
Jabalpur,13,GEN,Madhya Pradesh [2000 Onwards],Rakesh Singh,Bharatiya Janta Party,"17,11,683","10,02,184",58.60%,"2,08,639",20.80%,2014
Jadavpur,22,GEN,West Bengal,Sugata Bose,All India Trinamool Congress,"15,95,746","12,72,362",79.70%,"1,25,203",9.80%,2014
Jagatsinghpur,16,SC,Orissa,Kulamani Samal,Biju Janata Dal,"14,99,673","11,31,932",75.50%,"2,76,394",24.40%,2014
Jahanabad,36,GEN,Bihar [2000 Onwards],Dr. Arun Kumar,Rashtriya Lok Samta Party,"14,23,246","8,11,516",57.00%,"42,340",5.20%,2014
Jaipur,7,GEN,Rajasthan,Ramcharan Bohara,Bharatiya Janta Party,"19,57,818","12,96,806",66.20%,"5,39,345",41.60%,2014
Jaipur Rural,6,GEN,Rajasthan,Rajyavardhan Singh Rathore,Bharatiya Janta Party,"16,99,462","10,13,691",59.70%,"3,32,896",32.80%,2014
Jajpur,8,SC,Orissa,Rita Tarai,Biju Janata Dal,"13,03,733","9,80,435",75.20%,"3,20,271",32.70%,2014
Jalandhar,4,SC,Punjab,Santokh Singh Chaudhary,Indian National Congress,"15,51,497","10,40,762",67.10%,"70,981",6.80%,2014
Jalaun,45,SC,Uttar Pradesh [2000 Onwards],Bhanu Pratap Singh Verma,Bharatiya Janta Party,"19,03,332","11,09,166",58.30%,"2,87,202",25.90%,2014
Jalgaon,3,GEN,Maharashtra,A.T. Nana Patil,Bharatiya Janta Party,"17,07,933","9,90,332",58.00%,"3,83,525",38.70%,2014
Jalna,18,GEN,Maharashtra,Danve Raosaheb Dadarao,Bharatiya Janta Party,"16,12,054","10,66,259",66.10%,"2,06,798",19.40%,2014
Jalore,18,GEN,Rajasthan,Devji Patel,Bharatiya Janta Party,"18,24,968","10,87,272",59.60%,"3,81,145",35.10%,2014
Jalpaiguri,3,SC,West Bengal,Bijoy Chandra Barman,All India Trinamool Congress,"15,31,469","13,02,117",85.00%,"69,606",5.30%,2014
Jammu,6,GEN,Jammu & Kashmir,Jugal Kishore,Bharatiya Janta Party,"18,48,155","12,53,593",67.80%,"2,57,280",20.50%,2014
Jamnagar,12,GEN,Gujarat,Poonamben Hematbhai Maadam,Bharatiya Janta Party,"14,70,952","8,52,643",58.00%,"1,75,289",20.60%,2014
Jamshedpur,9,GEN,Jharkhand,Bidyut Baran Mahato,Bharatiya Janta Party,"15,81,665","10,49,140",66.30%,"99,876",9.50%,2014
Jamui,40,SC,Bihar [2000 Onwards],Chirag Kumar Paswan,Lok Jan Shakti Party,"15,50,936","7,75,639",50.00%,"85,947",11.10%,2014
Jangipur,9,GEN,West Bengal,Abhijit Mukherjee,Indian National Congress,"13,91,656","11,19,084",80.40%,"8,161",0.70%,2014
Janjgir-Champa,3,SC,Chhattisgarh,Kamla Patle,Bharatiya Janta Party,"17,37,532","10,73,347",61.80%,"1,74,961",16.30%,2014
Jaunpur,73,GEN,Uttar Pradesh [2000 Onwards],Krishna Pratap 'k.P.',Bharatiya Janta Party,"18,48,842","10,07,143",54.50%,"1,46,310",14.50%,2014
Jhalawar-Baran,25,GEN,Rajasthan,Dushyant Singh,Bharatiya Janta Party,"16,69,842","11,46,364",68.70%,"2,81,546",24.60%,2014
Jhanjharpur,7,GEN,Bihar [2000 Onwards],Birendra Kumar Chaudhary,Bharatiya Janta Party,"16,50,753","9,41,249",57.00%,"55,408",5.90%,2014
Jhansi,46,GEN,Uttar Pradesh [2000 Onwards],Uma Bharati,Bharatiya Janta Party,"19,32,015","13,20,804",68.40%,"1,90,467",14.40%,2014
Jhargram,33,ST,West Bengal,Uma Saren,All India Trinamool Congress,"14,75,112","12,57,613",85.30%,"3,47,883",27.70%,2014
Jhunjhunu,4,GEN,Rajasthan,Santosh Ahlawat,Bharatiya Janta Party,"16,96,788","10,06,465",59.30%,"2,33,835",23.20%,2014
Jodhpur,16,GEN,Rajasthan,Gajendrasingh Shekhawat,Bharatiya Janta Party,"17,27,363","10,78,598",62.40%,"4,10,051",38.00%,2014
Jorhat,12,GEN,Assam,Kamakhya Prasad Tasa,Bharatiya Janta Party,"12,34,448","9,31,336",75.50%,"1,02,420",11.00%,2014
Joynagar,19,SC,West Bengal,Pratima Mondal,All India Trinamool Congress,"14,58,724","11,86,052",81.30%,"1,08,384",9.10%,2014
Junagadh,13,GEN,Gujarat,Chudasama Rajeshbhai Naranbhai,Bharatiya Janta Party,"14,85,543","9,41,378",63.40%,"1,35,832",14.40%,2014
Kachchh,1,SC,Gujarat,Chavda Vinod Lakhamashi,Bharatiya Janta Party,"15,33,782","9,46,240",61.70%,"2,54,482",26.90%,2014
Kadapa,38,GEN,Andhra Pradesh [2014 Onwards],Y.S. Avinash Reddy,Yuvajana Sramika Rythu Congress Party,"15,50,579","12,00,662",77.40%,"1,90,323",15.90%,2014
Kairana,2,GEN,Uttar Pradesh [2000 Onwards],Hukum Singh,Bharatiya Janta Party,"15,31,755","11,19,324",73.10%,"2,36,828",21.20%,2014
Kaiserganj,57,GEN,Uttar Pradesh [2000 Onwards],Brij Bhusan Sharan Singh,Bharatiya Janta Party,"17,11,967","9,43,357",55.10%,"78,218",8.30%,2014
Kakinada,23,GEN,Andhra Pradesh [2014 Onwards],Thota Narasimham,Telugu Desam,"14,18,290","10,99,999",77.60%,"3,431",0.30%,2014
Kalahandi,11,GEN,Orissa,Arka Keshari Deo,Biju Janata Dal,"14,74,135","11,17,536",75.80%,"56,347",5.00%,2014
